textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²)
c8daeb34e8,Im eating a salad  and rember to comment my new myspace pictures plz?,Im eating a salad  and rember to comment my new myspace pictures plz?,neutral,morning,46-60,Dominica,71986,750.0,96
c05ea7e99d, ahahahaha you love Twilight don`t liee!!!  and we all know I love Robert Pattinson!!,w I love Robert Pattinson!!,positive,night,70-100,Netherlands,17134872,33720.0,508
551351725d,_beckwith it cant be that good if your twittering instead of watching it  ****,it cant be that good,negative,noon,21-30,United Arab Emirates,9890402,83600.0,118
84eeb1fdcd, poor pooch...,poor pooch...,negative,night,70-100,India,1380004385,2973190.0,464
0d663acecc,I wonder if I should put a bet on Cubs winning world series in 2015 due to BTTF II. I`d love it if it actually happens.  Me = geek,love,positive,noon,21-30,South Sudan,11193725,610952.0,18
7f72544581,"Graduation tonight  I`m gonna miss my boys...Mikey, Dustin, Miles, Charlie, Travy, Nicky, John, Jake, all my boys...I love you guys",.I love you guys,positive,night,31-45,Czechia (Czech Republic),10708981,77240.0,139
bd140dbc4e,"Just had some strawberries for afternoon snack, I love strawberries!! Gonna make a strawberry smoothie tonight after the gym",I love strawberries!!,positive,night,70-100,Brazil,212559417,8358140.0,25
793705ea90,"Dear Daniel, good news from Nintendo! They want you as a potential Lotchecktester! Hoffentlich wirds was mit der Stelle",good news fr,positive,morning,0-20,Saint Vincent and the Grenadines,110940,390.0,284
6e1004a856, What kind of help do you need with Machine embroidery?  I may bea able to help,I may bea able to help,positive,morning,46-60,Serbia,8737371,87460.0,100
053fc34680, You better believe it!   and I wouldn`t miss it for the world!,nd I wouldn`t miss it for the world,positive,noon,60-70,Albania,2877797,27400.0,105
62622c4703, aaaa i cant go to his pagee  It really exist?,aaaa i cant go to his pagee  It really exist?,neutral,morning,46-60,Papua New Guinea,8947024,452860.0,20
907cf43ebc,at work with a HUGE headache,HUGE headache,negative,noon,21-30,Chad,16425864,1259200.0,13
8c5a1638d7,VCenter is screwing up on me today.  More specifically the MSSQL server that it connects to.,screwing,negative,morning,46-60,Hungary,9660351,90530.0,107
8d8badcbe8,Isnt looking forward to going back to work. 3 days off isnt long enough,Isnt looking forward to going back to work. 3 days off isnt long enough,negative,morning,46-60,Lithuania,2722289,62700.0,43
b5766f00f1, dude i tried!! it wouldn`t load!,it wouldn`t load!,negative,noon,60-70,Libya,6871292,1759540.0,4
476f9b7220,"I feel like drinking wine, but I don`t have any.","I feel like drinking wine, but I don`t have any.",neutral,morning,46-60,Indonesia,273523615,1811570.0,151
e1f523f6f0,"_Brad oh, cuz id like to use it on a whole heap on bitchy girls I knoww","oh, cuz id like to use it on a whole heap on bitchy girls I knoww",neutral,morning,0-20,Lithuania,2722289,62700.0,43
7c8f3adcc4,ok...so i`m Twittin from my computer...its gonna be bad when i get on my phone.. cause ima be lost like ****,bad,negative,night,31-45,Chile,19116201,743532.0,26
0f3c048a94,I quite like baseball and bball oh and the odd gridiron match that a tiny tiny part of the worlds population calls football,like,positive,morning,0-20,Mauritania,4649658,1030700.0,5
d9ec842df1," i can`t listen to music at work  I probably could try, but then i`ll have to start hunting for a new job on monday",can`t listen,negative,noon,60-70,North Korea,25778816,120410.0,214
89545ebb49,Signing off to spend time with my hubby   Goodnight / day tweeple!   Have a very Happy Mother`s Day!,!   Have a very Happy Mother`s Da,positive,noon,21-30,South Sudan,11193725,610952.0,18
10412b6712, i heard it is not illegal unless you are caught,i heard it is not illegal unless you are caught,negative,noon,60-70,Gabon,2225734,257670.0,9
ac884e436b, I`m not giving up http://bit.ly/SnjEn,I`m not giving up,positive,noon,60-70,Dominican Republic,10847910,48300.0,225
0b039eeb8e,http://tinyurl.com/oqsqz6 Grace`s FunZen magic mood tool for keeping her cool in the pool of real life which is now yours too,for keeping her cool in the pool,positive,night,70-100,Maldives,540544,300.0,1802
8489166688," AWWWE! I live in Van, would`ve been so great to see you  but have a great flight!",a great flight!,positive,noon,60-70,Holy See,801,0.0,2003
9d9d77c46d,Looking for the  in Coal Harbour. Can`t find it!,Can`t find it!,negative,night,70-100,India,1380004385,2973190.0,464
f53e05638c,Life can get soo Dull sometimes what do you do when u have no 1 around  x,Life can get soo Dull sometimes what do you do when u have no 1 around  x,negative,noon,21-30,Poland,37846611,306000.0,124
1e3660f02e,is very cold,is very cold,neutral,morning,0-20,Bosnia and Herzegovina,3280819,51000.0,64
7817bf60f5, loll my dad leavingg and moving to las vegas and myy now ex boyfrienndd is FINALLLY done talking to me and has left me alone,loll,positive,morning,0-20,Afghanistan,38928346,652860.0,60
07e3a0a98c," 'might be interested' - thanks, I was: I came, I saw, I winced..  too much like Flatland http://bit.ly/12f0y","thanks,",positive,night,70-100,Namibia,2540905,823000.0,3
ee88954543,"i`m gonna eat some chips??!! anybody, want some??? hahaha!",hahaha!,positive,night,70-100,Antigua and Barbuda,97929,440.0,223
afe22c972a,  FTR I <3 U and miss U on the team already,d miss U,negative,noon,21-30,Holy See,801,0.0,2003
32594aaef7,Anyone want to buy me this anthropomorphic planter called Domsai by Matteo Cibic? http://tinyurl.com/m6sru3 Only available till the 31st,Anyone want to buy me this anthropomorphic planter called Domsai by Matteo Cibic? http://tinyurl.com/m6sru3 Only available till the 31st,neutral,noon,60-70,Saudi Arabia,34813871,2149690.0,16
42ff56c921,I do NOT feel good today,do NOT feel good,negative,night,31-45,Liechtenstein,38128,160.0,238
c6cf9979f5, would love to hear all of this from a Nokia perspective...,love,positive,night,70-100,Chile,19116201,743532.0,26
3a8a6432ad,  Apple has done some impressive things for my almost 2 year old macbook. Except when I poured coffee into the keyboard.,Apple has done some impressive things for my almost 2 year old macbook,positive,morning,0-20,South Korea,51269185,97230.0,527
1758a9af5c,right guys i have to go,right guys i have to go,neutral,noon,60-70,Grenada,112523,340.0,331
558d4976d1,"just got a haircut, NOT happy!",NOT happy!,negative,morning,46-60,Andorra,77265,470.0,164
d5701ace41,i have a yucky burn,yucky burn,negative,morning,46-60,Mozambique,31255435,786380.0,40
0b4643d536,good morning twitterworld!  slept too less..,slept too less..,negative,morning,46-60,Saint Vincent and the Grenadines,110940,390.0,284
d5806cc958,learnt how to drive a manual on the weekend,learnt how to drive a manual on the weekend,neutral,morning,0-20,Malawi,19129952,94280.0,203
9199bbbb68, good catch!  Thanks a bunch- have to put up a new widget.,good catch!,positive,morning,46-60,Nigeria,206139589,910770.0,226
f187babace, or lester....pitcher for the red sox,or lester....pitcher for the red sox,neutral,night,31-45,Mexico,128932753,1943950.0,66
ffbdfabc5d,oh men!!!!!!......I really can`t see my face........c`mon guys!!!,oh men!!!!!!......I really can`t see my face........c`mon guys!!!,neutral,morning,46-60,Liberia,5057681,96320.0,53
b8c8a47bcb,baseball games whoo hooo  when to banquet yesterday at the hyhtt sooo fun,fun,positive,night,31-45,Uganda,45741007,199810.0,229
4050f852eb," I always told my kids that I see and hear everything so mind your manors, so I guess that proved it to him.","I always told my kids that I see and hear everything so mind your manors, so I guess that proved it to him.",neutral,morning,46-60,Democratic Republic of the Congo,89561403,2267050.0,40
fba62df79b, Im soooo intrigued! I want to try this weekend. Kaya lang baka maaddict ako.,intrigued!,positive,morning,0-20,Timor-Leste,1318445,14870.0,89
25d3a67099, yay! we will have to get together soon and do something,yay!,positive,night,31-45,Syria,17500658,183630.0,95
5e36bda7f8,We`ll write a song that turns out the lights <3,We`ll write a song that turns out the lights,neutral,noon,60-70,North Korea,25778816,120410.0,214
df6528b8c2, Thanks for the interview mama!  Enjoy your night,Enjoy your night,positive,noon,60-70,Grenada,112523,340.0,331
a835c15171,"KERI HILSON- SLOW DANCE ROCKIN` THE **** OUT OF MY PLAYLIST RIGHT NOW! GET UP ON THIS SONG, PURE **** DROPPER",SLOW DANCE ROCKIN` THE **** OUT OF MY PLAYLIST,positive,morning,0-20,Democratic Republic of the Congo,89561403,2267050.0,40
ac326f2eb2, yeah,yeah,neutral,noon,21-30,Zambia,18383955,743390.0,25
013b686a0a,i`m searching followers,i`m searching followers,neutral,night,70-100,Antigua and Barbuda,97929,440.0,223
f19fcbaa3b,thanks to  for becoming a follower,thanks to,positive,noon,60-70,Fiji,896445,18270.0,49
5ca9a346d6," going through your tweets right now, probably missed all the good ones in the last 4 hours",probably missed all the good ones in the last 4 hours,neutral,morning,46-60,Brunei,437479,5270.0,83
8c22e3882e,"Nearly finished Angels and Demons, awesome book, feel so lame for only reading it now","Nearly finished Angels and Demons, awesome book, feel so lame for only reading it now",neutral,morning,46-60,Tajikistan,9537645,139960.0,68
bc4eebb5c5,follow friday.. follow me coz i only have 26 followers...  (it`s not 2am),follow friday.. follow me coz i only have 26 followers...  (it`s not 2am),neutral,night,31-45,Jordan,10203134,88780.0,115
1635b82ee7, did your car get towed? Thats what happened to redgie`s car last time he went there  another reason why i don`t like splashtown,did your car get towed? Thats what happened to redgie`s car last time he went there  another reason why i don`t like splashtown,neutral,morning,46-60,Serbia,8737371,87460.0,100
b2443b3da4,"Just put all the original art for my comics into an album.  Its really nice, except it shows how much I liked to cut corners to finish.","nice,",positive,night,70-100,Vietnam,97338579,310070.0,314
a9e2af48b4," kk, awesome.",awesome.,positive,noon,60-70,Nicaragua,6624554,120340.0,55
6fe9a5c676,my first `star trek` anything was really entertaining.. now if I can just see Harold fly the enterprise to `white castle`,my first `star trek` anything was really entertaining.. now if I can just see Harold fly the enterprise to `white castle`,neutral,noon,60-70,Montenegro,628066,13450.0,47
80fc443957,Answering email questions for Art of Photography Show. Yes-I actually reply.  http://www.artofphotographyshow.com Entry deadline May 22nd,Answering email questions for Art of Photography Show. Yes-I actually reply.,neutral,night,31-45,Antigua and Barbuda,97929,440.0,223
cd7852c045,All of a sudden I`m craving broccoli and cheese soup really bad...  oh the hunger,bad..,negative,night,31-45,Mexico,128932753,1943950.0,66
e6bb7b3a91, Hi Sharon Missed you on our x factor last year!!  Come Back!! x,Come Back!!,positive,night,31-45,Honduras,9904607,111890.0,89
877728a598,Packing is no fun at all  good thing I have the new united on to keep me going... But still no fun,no fun,negative,night,70-100,South Africa,59308690,1213090.0,49
6cfbaeab29,happy mothers day to all moms out there!!,happy mothers day to,positive,morning,0-20,Hungary,9660351,90530.0,107
1f58290812,yeah but i was trying to send a msg to you  :S also trying to put a pic on but it aint happening   do they have to approve it or summit?,but it aint happening,negative,noon,21-30,Moldova,4033963,32850.0,123
cf3b5b1730, won`t need my hugs anymore,won`t need my hugs anymore,negative,morning,0-20,Ireland,4937786,68890.0,72
39e1a56fa9, It`s NOT good.  1 of our directors said we could go home and the other said back to work  boo! It was good while it lasted.,It`s NOT good.  1 of our directors said we could go home and the other said back to work  boo! It was good while it lasted.,neutral,night,31-45,Barbados,287375,430.0,668
4340fddcbb," exactly the same problem i am having with pure classical music, i cant njoy it",i cant njoy it,negative,night,70-100,Syria,17500658,183630.0,95
942fe6e50c, go to bed mister! u need your beauty sleep,go to bed mister! u need your beauty sleep,neutral,night,70-100,Tonga,105695,720.0,147
e23e572868, I`m writing more fanfic.,I`m writing more fanfic.,neutral,morning,46-60,Andorra,77265,470.0,164
8b92373be1,"My Twitter was born on 12 Feb 09. Today, at this point of time, 4 May 09, 3:56pm (GMT+8), I have 805 tweets (including this one).","My Twitter was born on 12 Feb 09. Today, at this point of time, 4 May 09, 3:56pm (GMT+8), I have 805 tweets (including this one).",neutral,morning,46-60,Benin,12123200,112760.0,108
c1ca3e6ef2,  that made me sad..,e me sad..,negative,night,70-100,Belize,397628,22810.0,17
a24238316f, Are you a night owl or what? Always on here as the same time as myself  Enjoy your scifi show.,Enjoy your scifi show.,positive,noon,60-70,Uruguay,3473730,175020.0,20
c7d44a0dcc,It is 00:03 I`m Wrecked  I`M Hungry & I have to get up early. Not the perfect Fri night LOL night,Not the perfect Fri night,negative,noon,60-70,Sudan,43849260,1765048.0,25
0288e44f81," John ohh, I like you. Like, Like-Like you.  Best show ever. <3 the maine.",like,positive,night,70-100,Ecuador,17643054,248360.0,71
6b9ea67c11,I`m one tough momma. Put together a swing set for Tammy allll by myself today!  My hubby would be so proud of me. :],be so proud of,positive,night,70-100,"Eswatini (fmr. ""Swaziland"")",1160164,17200.0,67
4d8cb7fa3f, So that is different than normal how?,So that is different than normal how?,neutral,night,31-45,Monaco,39242,1.0,26337
2289eb7576,I don`t think our ISP is too happy with us this weekend!,happy,positive,night,70-100,South Africa,59308690,1213090.0,49
992acf90e5,This is dedicated to all those moms out there - Happy Mother`s Day  ? http://blip.fm/~5z2g9,Happy Mother`s Day,positive,night,31-45,Burkina Faso,20903273,273600.0,76
7f3a3bc5d9,I think I might fall in love with jihoon in boys over flower.,love,positive,morning,46-60,France,65273511,547557.0,119
c9f9a8dbf5,: thx for the follow!,thx,positive,noon,21-30,El Salvador,6486205,20720.0,313
d81e3618bd, I know.     #hhrs,I know.     #h,neutral,night,70-100,Suriname,586632,156000.0,4
5073bd3ff7,would really like to not be at work and instead taking a nap.,like,positive,morning,0-20,Austria,9006398,82400.0,109
8bac7062ac,I have the immense pleasure of being entertained by Pride & Prejudice for the 3rd time and I must say that I find it very much agreeable,I must say that I find it very much agreeable,positive,morning,46-60,Mauritania,4649658,1030700.0,5
